Year,Pilots,Certificate,Range
2009,8450,Student,Student
2009,13,Recreational,Recreational
2009,98,Sport,Sport
2009,14322,Private,Private
2009,8289,Commercial,Commercial
2009,5636,ATP,ATP
2010,14767,Student,Student
2010,12,Recreational,Recreational
2010,118,Sport,Sport
2010,13566,Private,Private
2010,8175,Commercial,Commercial
2010,5580,ATP,ATP
2011,14683,Student,Student
2011,18,Recreational,Recreational
2011,135,Sport,Sport
2011,12927,Private,Private
2011,7956,Commercial,Commercial
2011,5597,ATP,ATP
2012,14643,Student,Student
2012,16,Recreational,Recreational
2012,152,Sport,Sport
2012,12456,Private,Private
2012,7536,Commercial,Commercial
2012,5818,ATP,ATP
2013,14405,Student,Student
2013,17,Recreational,Recreational
2013,174,Sport,Sport
2013,11909,Private,Private
2013,6911,Commercial,Commercial
2013,6205,ATP,ATP
2014,14369,Student,Student
2014,16,Recreational,Recreational
2014,192,Sport,Sport
2014,11652,Private,Private
2014,6685,Commercial,Commercial
2014,6408,ATP,ATP
2015,14580,Student,Student
2015,16,Recreational,Recreational
2015,211,Sport,Sport
2015,11339,Private,Private
2015,6587,Commercial,Commercial
2015,6554,ATP,ATP
2016,15971,Student,Student
2016,15,Recreational,Recreational
2016,223,Sport,Sport
2016,10009,Private,Private
2016,6081,Commercial,Commercial
2016,6888,ATP,ATP
2017,19219,Student,Student
2017,14,Recreational,Recreational
2017,229,Sport,Sport
2017,9971,Private,Private
2017,6267,Commercial,Commercial
2017,6994,ATP,ATP
2018,22266,Student,Student
2018,10,Recreational,Recreational
2018,240,Sport,Sport
2018,10255,Private,Private
2018,6556,Commercial,Commercial
2018,7136,ATP,ATP